touch_id,customer_id,campaign_id,interaction_date,action,device
1,3132,14,2025-09-11,Signup,Mobile
2,3960,3,2023-11-12,Open,Desktop
3,3898,6,2025-10-04,Ignore,Desktop
4,3779,20,2024-01-15,Open,Desktop
5,6,30,2025-12-22,Signup,Tablet
6,1667,33,2023-05-09,Ignore,Mobile
7,3353,17,2024-09-07,Ignore,Mobile
8,4961,35,2023-03-02,Open,Mobile
9,2417,31,2024-08-27,Signup,Desktop
10,6890,26,2025-06-05,Click,Desktop
11,3852,14,2025-09-29,Ignore,Tablet
12,3058,21,2024-11-05,Open,Desktop
13,3343,25,2023-06-05,Click,Tablet
14,3957,10,2023-05-01,Open,Tablet
15,6363,8,2024-06-28,Ignore,Desktop
16,3436,6,2025-10-13,Open,Mobile
17,5039,30,2026-01-07,Signup,Desktop
18,1126,17,2024-11-21,Open,Tablet
19,3427,4,2025-11-15,Open,Mobile
20,1343,4,2025-11-27,Ignore,Desktop
21,3981,24,2023-12-07,Ignore,Mobile
22,921,9,2025-05-29,Open,Desktop
23,2437,31,2024-08-08,Ignore,Tablet
24,6594,1,2025-07-06,Click,Tablet
25,5586,11,2024-08-31,Open,Mobile
26,879,25,2023-06-05,Ignore,Desktop
27,744,20,2023-12-31,Ignore,Mobile
28,5019,22,2026-01-03,Ignore,Desktop
29,1352,34,2025-02-26,Ignore,Mobile
30,3116,28,2024-11-26,Ignore,Desktop
31,2689,5,2026-02-07,Ignore,Desktop
32,3082,13,2023-07-15,Open,Desktop
33,6101,31,2024-10-04,Click,Tablet
34,2909,39,2024-09-15,Open,Desktop
35,3746,3,2023-11-14,Click,Desktop
36,3174,3,2023-10-11,Open,Mobile
37,1588,22,2026-01-31,Ignore,Mobile
38,34,37,2025-10-12,Open,Mobile
39,7481,12,2024-05-06,Ignore,Tablet
40,7031,11,2024-08-06,Click,Desktop
41,4857,11,2024-08-27,Open,Desktop
42,1270,4,2025-12-25,Open,Tablet
43,2363,39,2024-09-05,Signup,Mobile
44,4680,12,2024-03-30,Click,Desktop
45,1027,8,2024-05-18,Signup,Tablet
46,3369,28,2024-10-19,Ignore,Desktop
47,5501,8,2024-04-29,Click,Tablet
48,4983,14,2025-09-20,Open,Tablet
49,6256,15,2025-11-11,Signup,Tablet
50,4137,33,2023-05-02,Open,Tablet
51,6767,21,2024-10-14,Signup,Desktop
52,3473,17,2024-08-21,Signup,Mobile
53,1285,35,2023-03-01,Click,Mobile
54,1963,25,2023-05-28,Ignore,Mobile
55,5373,15,2025-10-08,Ignore,Tablet
56,3314,21,2024-11-16,Click,Tablet
57,5774,21,2024-10-31,Signup,Desktop
58,4093,10,2023-03-29,Signup,Desktop
59,1333,7,2026-03-01,Ignore,Mobile
60,7240,3,2023-12-07,Signup,Tablet
61,4380,22,2026-01-28,Ignore,Tablet
62,5003,11,2024-08-06,Ignore,Desktop
63,6783,29,2023-04-06,Click,Mobile
64,5047,4,2025-12-02,Open,Tablet
65,1714,8,2024-07-04,Ignore,Tablet
66,2186,12,2024-05-13,Open,Desktop
67,7394,6,2025-09-27,Ignore,Mobile
68,1478,19,2024-09-01,Ignore,Tablet
69,5063,29,2023-04-03,Click,Mobile
70,511,14,2025-09-14,Ignore,Mobile
71,3615,13,2023-06-12,Ignore,Mobile
72,2900,36,2024-11-06,Open,Tablet
73,1147,20,2024-01-06,Click,Mobile
74,7454,3,2023-10-06,Ignore,Mobile
75,4078,29,2023-04-01,Signup,Mobile
76,7740,20,2024-01-04,Click,Tablet
77,7378,21,2024-10-02,Ignore,Desktop
78,5804,19,2024-08-29,Open,Desktop
79,7776,14,2025-09-13,Click,Desktop
80,5929,6,2025-10-01,Click,Desktop
81,3196,21,2024-10-14,Ignore,Tablet
82,4000,3,2023-10-18,Open,Desktop
83,5431,38,2024-03-03,Open,Tablet
84,4502,1,2025-04-19,Ignore,Desktop
85,4874,21,2024-11-22,Click,Mobile
86,7228,16,2024-11-14,Open,Mobile
87,2030,2,2024-12-09,Click,Mobile
88,1868,26,2025-07-20,Click,Mobile
89,1063,37,2025-09-22,Signup,Desktop
90,5258,11,2024-08-13,Signup,Desktop
91,4056,3,2023-11-03,Open,Tablet
92,7578,23,2023-12-29,Click,Tablet
93,4482,3,2023-11-03,Ignore,Desktop
94,1380,39,2024-08-25,Click,Mobile
95,7014,23,2024-02-19,Ignore,Tablet
96,3711,31,2024-10-26,Open,Desktop
97,1660,15,2025-11-01,Open,Tablet
98,1885,17,2024-10-03,Ignore,Mobile
99,4203,37,2025-09-23,Ignore,Desktop
100,4643,8,2024-06-12,Ignore,Tablet
101,7760,35,2023-02-05,Open,Mobile
102,2281,21,2024-10-05,Ignore,Tablet
103,4925,26,2025-06-19,Ignore,Desktop
104,2387,24,2023-11-15,Open,Tablet
105,3192,29,2023-03-26,Click,Desktop
106,7320,29,2023-04-10,Ignore,Mobile
107,6820,29,2023-04-02,Open,Desktop
108,730,5,2026-02-17,Click,Tablet
109,610,25,2023-07-09,Click,Desktop
110,961,21,2024-09-27,Signup,Mobile
111,7933,40,2024-02-13,Ignore,Tablet
112,1597,11,2024-09-11,Open,Desktop
113,7895,10,2023-03-25,Ignore,Mobile
114,6235,23,2024-03-10,Open,Tablet
115,4187,4,2025-12-06,Ignore,Tablet
116,6435,27,2023-05-05,Ignore,Mobile
117,4,22,2026-02-13,Open,Tablet
118,3077,7,2026-03-04,Ignore,Tablet
119,4368,11,2024-09-12,Click,Desktop
120,6848,35,2023-02-09,Click,Desktop
121,587,21,2024-10-29,Ignore,Desktop
122,116,34,2025-04-13,Open,Mobile
123,3765,39,2024-09-04,Open,Mobile
124,5661,12,2024-04-23,Open,Desktop
125,6997,8,2024-06-16,Ignore,Desktop
126,4228,40,2024-01-03,Click,Tablet
127,1327,34,2025-02-14,Click,Mobile
128,5968,20,2024-01-06,Ignore,Mobile
129,3526,5,2026-03-11,Open,Tablet
130,3212,28,2024-10-31,Signup,Tablet
131,6955,1,2025-07-16,Open,Desktop
132,6796,17,2024-11-29,Open,Desktop
133,2755,21,2024-11-24,Ignore,Desktop
134,6561,21,2024-10-15,Open,Mobile
135,2238,39,2024-08-03,Open,Mobile
136,194,7,2026-03-20,Open,Tablet
137,7566,31,2024-10-27,Open,Tablet
138,1861,11,2024-08-27,Ignore,Desktop
139,4070,3,2023-10-18,Click,Desktop
140,441,37,2025-09-23,Click,Mobile
141,5662,32,2026-03-28,Ignore,Tablet
142,776,10,2023-04-25,Ignore,Desktop
143,5400,1,2025-04-07,Ignore,Desktop
144,1057,25,2023-04-10,Open,Tablet
145,6603,32,2026-01-13,Click,Desktop
146,7881,8,2024-04-25,Open,Desktop
147,6556,4,2025-12-07,Click,Mobile
148,575,25,2023-07-01,Ignore,Tablet
149,4191,26,2025-06-27,Open,Tablet
150,3411,11,2024-07-30,Ignore,Desktop
151,5794,16,2024-12-21,Open,Tablet
152,527,7,2026-03-12,Signup,Desktop
153,4112,5,2026-02-16,Ignore,Mobile
154,3500,17,2024-09-18,Signup,Mobile
155,1925,6,2025-07-10,Click,Tablet
156,6251,17,2024-12-13,Click,Mobile
157,7826,32,2026-01-28,Ignore,Desktop
158,2028,40,2024-01-15,Open,Desktop
159,6786,11,2024-08-10,Signup,Desktop
160,6571,40,2023-12-23,Open,Tablet
161,5678,35,2023-03-20,Open,Tablet
162,5082,26,2025-06-14,Open,Mobile
163,2665,38,2024-02-05,Ignore,Tablet
164,4996,9,2025-05-26,Ignore,Mobile
165,6908,2,2024-12-23,Open,Tablet
166,3535,8,2024-05-04,Open,Tablet
167,5697,23,2024-03-21,Open,Mobile
168,196,2,2024-12-18,Signup,Mobile
169,2193,28,2024-12-09,Ignore,Mobile
170,6404,15,2025-11-20,Open,Tablet
171,5025,33,2023-04-22,Ignore,Desktop
172,692,21,2024-11-24,Ignore,Tablet
173,2413,35,2023-02-09,Open,Tablet
174,722,29,2023-03-30,Open,Desktop
175,5740,40,2024-01-19,Click,Tablet
176,7836,23,2024-01-15,Click,Desktop
