lead_id,customer_id,created_date,source,status,follow_up_date
1,,2025-12-15,Google Ads,New,
2,6799,2024-02-27,Facebook Ads,Converted,
3,,2024-05-13,Google Ads,Contacted,2024-05-24
4,,2025-12-13,LinkedIn,Qualified,2025-12-26
5,,2025-08-04,Organic,New,
6,,2026-01-31,Organic,Qualified,2026-02-06
7,5980,2023-11-24,TikTok,Converted,
8,,2024-09-19,Direct,Qualified,2024-09-29
9,2908,2024-02-20,TikTok,Converted,
10,,2023-06-27,Google Ads,Contacted,2023-07-03
11,,2026-04-09,Organic,Qualified,2026-04-20
12,1721,2023-07-02,Organic,Converted,
13,,2026-02-19,Facebook Ads,Contacted,2026-03-02
14,,2023-03-26,TikTok,Contacted,2023-04-07
15,,2024-08-19,Facebook Ads,Qualified,2024-08-27
16,,2025-04-02,Facebook Ads,Contacted,2025-04-14
17,,2025-06-12,Direct,New,
18,4010,2024-12-09,Facebook Ads,Converted,
19,,2026-02-28,LinkedIn,Contacted,2026-03-05
20,,2023-07-23,Direct,Qualified,2023-08-04
21,,2024-03-14,Google Ads,Qualified,2024-03-22
22,,2023-08-14,Facebook Ads,Qualified,2023-08-20
23,,2026-04-01,Facebook Ads,New,
24,,2023-12-24,TikTok,Qualified,2024-01-04
25,,2026-05-12,Referral,New,
26,,2025-09-24,TikTok,Lost,
27,,2025-08-15,TikTok,Qualified,2025-08-16
28,,2024-04-28,TikTok,Qualified,2024-05-06
29,,2025-03-27,Referral,Lost,
30,,2025-03-08,Google Ads,Contacted,2025-03-21
31,,2025-12-29,LinkedIn,Contacted,2025-12-31
32,,2024-12-05,Organic,Contacted,2024-12-18
33,,2023-12-15,Referral,Contacted,2023-12-27
34,,2024-07-23,LinkedIn,New,
35,,2023-03-10,LinkedIn,Lost,
36,,2025-05-14,TikTok,Lost,
37,,2026-05-29,Referral,Contacted,2026-05-31
38,,2026-04-08,Referral,Qualified,2026-04-15
39,,2024-08-06,Google Ads,Lost,
40,,2024-03-22,Google Ads,New,
41,,2023-06-14,Direct,New,
42,,2023-06-14,Facebook Ads,Qualified,2023-06-17
43,,2026-05-28,LinkedIn,Qualified,2026-06-01
44,,2024-03-06,LinkedIn,Contacted,2024-03-18
45,,2026-04-23,LinkedIn,Qualified,2026-04-28
46,,2023-06-22,Google Ads,Lost,
47,,2023-03-13,Organic,Contacted,2023-03-16
48,,2024-04-18,TikTok,Contacted,2024-04-21
49,,2025-12-26,Facebook Ads,Qualified,2025-12-30
50,,2024-07-15,Direct,Qualified,2024-07-17
51,1840,2026-01-19,LinkedIn,Converted,
52,,2024-08-16,Direct,Lost,
53,,2026-01-08,TikTok,Lost,
54,,2023-07-09,Referral,New,
55,,2023-10-26,Direct,Qualified,2023-11-05
56,,2025-03-25,LinkedIn,Contacted,2025-04-06
57,,2023-02-23,Organic,Qualified,2023-03-02
58,1584,2025-04-27,Direct,Converted,
59,4570,2025-03-03,Google Ads,Converted,
60,,2024-02-23,TikTok,Lost,
61,,2023-07-23,Google Ads,Contacted,2023-08-06
62,,2023-09-30,TikTok,Lost,
63,2610,2024-09-01,Organic,Converted,
64,1609,2024-03-22,Google Ads,Converted,
65,,2023-08-14,Direct,New,
66,,2023-03-17,Referral,Lost,
67,,2024-12-11,Facebook Ads,Qualified,2024-12-22
68,1003,2023-05-10,Organic,Converted,
69,,2026-03-18,Referral,New,
70,,2024-07-10,Organic,Lost,
71,,2024-06-27,Google Ads,Qualified,2024-07-01
72,,2023-11-06,Facebook Ads,New,
73,,2026-02-01,LinkedIn,Lost,
74,,2024-07-26,Direct,Qualified,2024-08-07
75,,2023-04-11,Referral,Qualified,2023-04-23
76,,2025-08-06,Google Ads,Contacted,2025-08-14
77,,2026-03-10,Referral,Contacted,2026-03-21
78,,2025-12-30,Referral,Lost,
79,,2023-02-04,TikTok,Qualified,2023-02-07
80,,2026-02-17,Organic,Qualified,2026-02-23
81,,2025-02-23,Referral,Contacted,2025-02-27
82,,2026-01-02,Direct,Lost,
83,,2025-06-08,Organic,Qualified,2025-06-12
84,,2024-09-16,Referral,Lost,
85,,2026-01-16,Referral,Qualified,2026-01-18
86,2148,2023-12-31,Organic,Converted,
87,,2024-08-20,Facebook Ads,Lost,
88,,2023-03-02,LinkedIn,Lost,
89,,2023-11-28,Referral,New,
90,6169,2024-07-01,TikTok,Converted,
91,,2024-12-04,Organic,Qualified,2024-12-18
92,,2023-09-21,Referral,Contacted,2023-10-01
93,,2025-06-23,TikTok,Contacted,2025-07-04
94,,2026-03-19,Referral,Contacted,2026-03-24
95,,2024-03-12,Facebook Ads,Qualified,2024-03-19
96,,2025-01-20,LinkedIn,Lost,
97,4099,2023-11-21,TikTok,Converted,
98,812,2024-06-01,Google Ads,Converted,
99,,2025-01-21,LinkedIn,New,
100,3610,2024-02-15,Facebook Ads,Converted,
101,,2026-02-13,Direct,New,
102,,2023-02-12,LinkedIn,Lost,
103,4735,2025-11-29,Organic,Converted,
104,,2024-07-15,Referral,Qualified,2024-07-23
105,,2025-06-01,Facebook Ads,Contacted,2025-06-11
106,,2023-09-22,Facebook Ads,Lost,
107,,2024-11-26,Direct,Qualified,2024-12-09
108,,2025-11-04,Referral,Qualified,2025-11-08
109,,2024-12-12,Referral,Lost,
110,,2024-12-12,Organic,New,
111,,2024-08-19,Facebook Ads,Contacted,2024-08-27
112,,2025-10-20,Organic,New,
113,,2023-05-23,TikTok,Qualified,2023-05-24
114,,2023-03-16,Referral,Qualified,2023-03-19
115,1508,2025-12-22,Google Ads,Converted,
116,,2023-11-03,Referral,New,
117,5687,2026-05-05,LinkedIn,Converted,
