item_id,order_id,product_id,product_name,category,sub_category,quantity,unit_price,discount_pct,discount_amt,line_revenue
1,1,PRD-00518,NovaTech Bedding Lite H,Home & Kitchen,Bedding,5,668.0,0.0,0.0,3340.0
2,1,PRD-00446,NovaTech Dresses Max K,Apparel,Dresses,5,168.85,0.0,0.0,844.25
3,1,PRD-00589,EcoGear Tools Mini D,Home & Kitchen,Tools,3,367.65,0.0,0.0,1102.95
4,2,PRD-00124,ClearPath Paper Ultra D,Office Supplies,Paper,5,174.45,0.0,0.0,872.25
5,3,PRD-00005,ApexBrand Laptops Smart E,Electronics,Laptops,1,1542.18,0.05,77.11,1465.07
6,3,PRD-00264,BrightCore Chairs Ultra I,Furniture,Chairs,2,4569.49,0.05,228.47,8682.04
7,4,PRD-00166,EcoGear Pens & Pencils Mini A,Office Supplies,Pens & Pencils,2,73.09,0.25,18.27,109.64
8,5,PRD-00225,BrightCore Envelopes Max O,Office Supplies,Envelopes,2,125.18,0.2,25.04,200.28
9,6,PRD-00364,NovaTech T-Shirts Basic D,Apparel,T-Shirts,5,354.5,0.0,0.0,1772.5
10,6,PRD-00168,ApexBrand Pens & Pencils Lite C,Office Supplies,Pens & Pencils,3,165.81,0.0,0.0,497.43
11,6,PRD-00372,ApexBrand T-Shirts Basic L,Apparel,T-Shirts,2,347.81,0.0,0.0,695.62
12,7,PRD-00376,NovaTech Hoodies Ultra A,Apparel,Hoodies,4,276.26,0.15,41.44,939.28
13,7,PRD-00364,NovaTech T-Shirts Basic D,Apparel,T-Shirts,4,361.77,0.15,54.27,1230.0
14,7,PRD-00033,ZenMark Tablets Lite C,Electronics,Tablets,3,3953.93,0.15,593.09,10082.52
15,8,PRD-00397,BrightCore Trousers Plus G,Apparel,Trousers,2,205.15,0.2,41.03,328.24
16,9,PRD-00487,ApexBrand Cookware Basic G,Home & Kitchen,Cookware,4,640.05,0.25,160.01,1920.16
17,10,PRD-00224,SwiftPro Envelopes Basic N,Office Supplies,Envelopes,4,192.67,0.1,19.27,693.6
18,10,PRD-00113,PrimeLine Wearables Plus H,Electronics,Wearables,4,1796.37,0.1,179.64,6466.92
19,10,PRD-00168,ApexBrand Pens & Pencils Lite C,Office Supplies,Pens & Pencils,5,150.11,0.1,15.01,675.5
