order_id,customer_id,sales_rep_id,order_date,ship_date,ship_mode,order_status,payment_method,country,city,region,order_total
1,6205,6,2024-12-28,2025-01-04,Express,Delivered,Bank Transfer,India,Bangalore,APAC,5287.2
2,7062,5,2023-12-21,2023-12-22,Standard,Delivered,Bank Transfer,Philippines,Davao,APAC,872.25
3,619,10,2026-01-18,2026-01-27,Economy,Processing,Credit Card,USA,Austin,North America,10147.11
4,6954,14,2024-05-16,2024-05-24,Express,Cancelled,PayPal,Canada,Toronto,North America,109.64
5,3012,14,2025-09-27,2025-09-30,Standard,Shipped,Credit Card,USA,Houston,North America,200.28
6,168,9,2024-12-25,2024-12-27,Standard,Delivered,Credit Card,USA,Chicago,North America,2965.55
7,6271,6,2025-03-28,2025-03-29,Standard,Processing,Credit Card,Philippines,Caloocan,APAC,12251.8
8,7939,3,2025-12-26,2025-12-29,Same Day,Delivered,Bank Transfer,Australia,Sydney,APAC,328.24
9,1839,7,2024-12-29,2025-01-08,Economy,Delivered,Credit Card,Philippines,Cebu,APAC,1920.16
10,7886,4,2024-11-08,2024-11-16,Standard,Delivered,PayPal,Philippines,Caloocan,APAC,7836.02
11,5896,16,2024-03-30,2024-04-02,Express,Cancelled,Buy Now Pay Later,UK,Glasgow,Europe,111.5
12,7605,11,2023-06-12,2023-06-20,Express,Delivered,Buy Now Pay Later,USA,Chicago,North America,1074.52
13,3029,1,2023-05-16,2023-05-23,Standard,Delivered,Credit Card,Philippines,Pasig,APAC,32159.12
14,1750,13,2024-06-08,2024-06-15,Standard,Returned,Bank Transfer,USA,Chicago,North America,233.82
15,3211,8,2024-07-20,2024-07-26,Express,Shipped,Credit Card,Canada,Calgary,North America,234.72
16,6872,7,2023-02-19,2023-02-27,Standard,Returned,Credit Card,Philippines,Makati,APAC,5547.28
17,518,13,2023-12-11,2023-12-18,Standard,Delivered,Buy Now Pay Later,USA,Phoenix,North America,3486.44
18,278,19,2025-05-15,2025-05-22,Standard,Delivered,Bank Transfer,UK,Bristol,Europe,636.52
19,4176,6,2023-10-19,2023-10-27,Standard,Cancelled,PayPal,India,Mumbai,APAC,1160.85
20,5520,6,2025-11-30,2025-12-08,Standard,Delivered,PayPal,India,Ahmedabad,APAC,1080.3
21,6298,19,2024-02-13,2024-02-16,Standard,Delivered,Credit Card,UK,Leeds,Europe,178.39
22,2153,1,2024-06-05,2024-06-06,Same Day,Delivered,Debit Card,India,Ahmedabad,APAC,177.63
23,3893,5,2024-03-12,2024-03-21,Same Day,Shipped,GCash,India,Pune,APAC,60.82
24,7014,17,2026-03-18,2026-03-23,Standard,Returned,GCash,UK,London,Europe,668.8
25,99,10,2025-03-02,2025-03-07,Economy,Delivered,PayPal,Canada,Vancouver,North America,576.57
26,5169,13,2025-03-11,2025-03-21,Express,Processing,Debit Card,USA,Austin,North America,6137.44
27,5661,11,2023-03-09,2023-03-12,Economy,Delivered,Buy Now Pay Later,USA,Austin,North America,15945.77
28,4053,15,2025-03-01,2025-03-03,Express,Shipped,Credit Card,UK,London,Europe,32474.54
29,6733,10,2023-03-08,2023-03-16,Standard,Processing,Debit Card,Canada,Vancouver,North America,2229.12
30,3313,5,2026-03-11,2026-03-13,Economy,Delivered,Credit Card,Philippines,Taguig,APAC,558.56
31,4756,8,2024-07-29,2024-08-05,Economy,Shipped,Credit Card,USA,New York,North America,11712.71
32,6073,4,2025-10-15,2025-10-16,Economy,Cancelled,GCash,Australia,Hobart,APAC,287.36
33,3107,9,2026-04-05,2026-04-09,Express,Delivered,Bank Transfer,Canada,Edmonton,North America,1060.93
34,6039,4,2024-07-05,2024-07-07,Standard,Delivered,Buy Now Pay Later,India,Bangalore,APAC,5595.7
35,6457,9,2026-02-17,2026-02-26,Standard,Returned,PayPal,Canada,Calgary,North America,1106.01
36,3751,7,2024-03-08,2024-03-11,Express,Processing,Debit Card,Philippines,Cebu,APAC,3365.04
37,732,10,2025-02-17,2025-02-19,Express,Delivered,PayPal,Canada,Calgary,North America,13222.3
38,1425,12,2024-02-20,2024-02-24,Standard,Delivered,Credit Card,USA,Los Angeles,North America,8016.06
39,6814,5,2026-03-27,2026-03-29,Standard,Cancelled,PayPal,India,Hyderabad,APAC,3911.8
40,885,2,2025-07-09,2025-07-14,Standard,Delivered,Bank Transfer,Philippines,Manila,APAC,1918.9
41,7477,18,2024-03-07,2024-03-13,Standard,Delivered,Credit Card,UK,Liverpool,Europe,20581.4
42,5391,1,2023-08-10,2023-08-12,Same Day,Delivered,Bank Transfer,Australia,Brisbane,APAC,2959.55
43,542,13,2025-04-13,2025-04-19,Express,Delivered,Debit Card,USA,Phoenix,North America,559.29
44,4538,2,2023-04-28,2023-05-06,Economy,Delivered,Bank Transfer,Australia,Adelaide,APAC,735.15
45,7550,6,2026-04-18,2026-04-24,Express,Processing,Bank Transfer,Australia,Gold Coast,APAC,512.7
46,5740,9,2023-06-14,2023-06-16,Same Day,Returned,GCash,USA,New York,North America,328.92
47,1061,7,2024-05-27,2024-06-03,Standard,Delivered,Credit Card,India,Mumbai,APAC,182.76
48,3126,6,2023-03-28,2023-04-05,Economy,Shipped,Bank Transfer,Philippines,Taguig,APAC,351.96
49,5425,4,2023-07-14,2023-07-19,Same Day,Cancelled,Credit Card,Philippines,Taguig,APAC,8726.5
50,1917,19,2024-02-13,2024-02-17,Same Day,Delivered,Bank Transfer,UK,Manchester,Europe,1331.09
51,6394,12,2024-06-06,2024-06-10,Express,Returned,Credit Card,USA,Dallas,North America,6012.76
52,1508,12,2026-03-22,2026-03-24,Economy,Delivered,PayPal,USA,New York,North America,6449.89
53,2356,1,2026-05-24,2026-05-31,Economy,Cancelled,PayPal,Philippines,Taguig,APAC,2787.54
54,2780,15,2024-07-06,2024-07-09,Standard,Delivered,Buy Now Pay Later,UK,Bristol,Europe,17146.88
55,7032,1,2026-05-27,2026-05-31,Standard,Delivered,Debit Card,India,Chennai,APAC,134.39
56,1927,11,2024-03-20,2024-03-27,Same Day,Cancelled,Credit Card,USA,Houston,North America,2156.0
57,7674,6,2023-07-10,2023-07-19,Same Day,Processing,Credit Card,Philippines,Pasig,APAC,17336.2
58,742,7,2023-08-05,2023-08-08,Same Day,Delivered,Buy Now Pay Later,Philippines,Cebu,APAC,1616.68
59,3621,18,2023-10-16,2023-10-22,Standard,Delivered,PayPal,UK,Edinburgh,Europe,34673.88
60,2786,2,2024-10-06,2024-10-16,Express,Delivered,GCash,Philippines,Quezon City,APAC,1232.44
61,449,18,2024-09-27,2024-09-29,Economy,Delivered,Credit Card,UK,Edinburgh,Europe,15662.4
62,1061,3,2025-07-25,2025-08-03,Economy,Processing,Bank Transfer,India,Mumbai,APAC,6839.25
63,5585,13,2025-12-09,2025-12-16,Economy,Delivered,PayPal,USA,Phoenix,North America,4005.3
64,5149,1,2024-07-23,2024-07-30,Standard,Delivered,Bank Transfer,Philippines,Davao,APAC,1764.39
65,4378,8,2023-09-27,2023-10-06,Economy,Cancelled,PayPal,USA,Phoenix,North America,10304.49
66,2139,15,2025-07-23,2025-08-01,Standard,Cancelled,PayPal,UK,Leeds,Europe,28221.09
67,2049,2,2024-04-12,2024-04-15,Standard,Delivered,PayPal,Australia,Canberra,APAC,34725.89
68,956,9,2024-06-09,2024-06-11,Standard,Shipped,Debit Card,USA,Chicago,North America,660.76
69,6815,3,2024-04-21,2024-05-01,Economy,Processing,Debit Card,Philippines,Pasig,APAC,753.2
70,7393,13,2025-11-18,2025-11-21,Standard,Delivered,Buy Now Pay Later,USA,Houston,North America,70.41
71,1588,4,2024-02-01,2024-02-05,Economy,Processing,Credit Card,Philippines,Pasig,APAC,892.4
72,1858,16,2023-01-10,2023-01-15,Standard,Delivered,Credit Card,UK,Leeds,Europe,7862.7
73,4433,19,2023-06-01,2023-06-07,Standard,Delivered,Debit Card,UK,Manchester,Europe,511.05
74,3607,11,2023-07-18,2023-07-22,Standard,Processing,PayPal,USA,Houston,North America,14027.31
75,7890,11,2023-02-21,2023-02-24,Economy,Delivered,GCash,USA,Chicago,North America,764.48
76,4164,6,2023-06-27,2023-07-06,Economy,Cancelled,Credit Card,Philippines,Makati,APAC,795.47
77,5547,8,2026-05-21,2026-05-22,Standard,Cancelled,Buy Now Pay Later,USA,Dallas,North America,610.9
78,2120,17,2024-03-16,2024-03-17,Economy,Delivered,Debit Card,UK,Liverpool,Europe,16515.32
79,6258,3,2024-09-10,2024-09-17,Standard,Delivered,Credit Card,India,Bangalore,APAC,3458.98
80,1957,14,2023-12-24,2023-12-28,Express,Delivered,Credit Card,Canada,Toronto,North America,1762.96
81,2468,1,2026-01-23,2026-01-28,Same Day,Delivered,GCash,India,Chennai,APAC,6226.39
82,5926,6,2025-09-03,2025-09-06,Express,Delivered,Bank Transfer,Philippines,Makati,APAC,7740.63
83,1187,5,2024-04-10,2024-04-16,Standard,Delivered,Buy Now Pay Later,India,Kolkata,APAC,9891.72
84,442,6,2023-09-01,2023-09-04,Standard,Shipped,PayPal,Philippines,Quezon City,APAC,9427.9
85,6490,2,2025-08-25,2025-09-04,Standard,Delivered,Bank Transfer,Philippines,Pasig,APAC,786.55
86,1566,2,2024-12-16,2024-12-25,Same Day,Processing,Bank Transfer,Philippines,Makati,APAC,5874.72
87,6577,9,2024-08-19,2024-08-22,Economy,Delivered,PayPal,USA,Houston,North America,8002.55
88,45,1,2024-01-11,2024-01-18,Express,Delivered,Bank Transfer,Australia,Canberra,APAC,1940.41
89,2138,2,2024-01-05,2024-01-11,Express,Delivered,GCash,India,Chennai,APAC,2568.11
90,1311,3,2025-05-04,2025-05-11,Standard,Shipped,Credit Card,Australia,Perth,APAC,365.78
91,7938,7,2025-09-07,2025-09-14,Standard,Processing,GCash,Philippines,Caloocan,APAC,2560.4
92,1114,16,2023-06-04,2023-06-11,Express,Cancelled,Credit Card,UK,Edinburgh,Europe,13331.36
93,3536,15,2025-02-20,2025-02-22,Standard,Delivered,Credit Card,UK,Liverpool,Europe,8615.18
94,4688,5,2024-07-31,2024-08-04,Express,Processing,Bank Transfer,Philippines,Manila,APAC,6091.35
95,3782,1,2025-06-13,2025-06-16,Standard,Delivered,PayPal,Australia,Sydney,APAC,14349.67
96,2239,8,2024-05-19,2024-05-20,Economy,Delivered,Credit Card,USA,Houston,North America,12541.38
97,4703,4,2026-01-21,2026-01-28,Express,Delivered,Credit Card,India,Chennai,APAC,337.59
98,1303,9,2023-05-24,2023-05-25,Standard,Delivered,Credit Card,USA,Houston,North America,10706.44
99,5104,7,2025-01-31,2025-02-09,Standard,Delivered,GCash,Philippines,Taguig,APAC,3035.75
100,2183,8,2025-10-10,2025-10-14,Express,Processing,PayPal,Canada,Vancouver,North America,698.04
101,6243,5,2024-12-23,2024-12-31,Standard,Delivered,Debit Card,Australia,Gold Coast,APAC,1604.38
102,6817,4,2025-02-12,2025-02-17,Standard,Delivered,GCash,India,Kolkata,APAC,1233.52
103,4430,18,2023-04-24,2023-04-30,Express,Shipped,PayPal,UK,Bristol,Europe,5017.14
104,1778,5,2023-08-21,2023-08-31,Standard,Delivered,Credit Card,Philippines,Manila,APAC,289.94
105,3214,11,2023-08-31,2023-09-07,Standard,Returned,Debit Card,USA,Phoenix,North America,13235.84
106,2104,2,2025-07-03,2025-07-10,Standard,Delivered,Credit Card,India,Ahmedabad,APAC,385.72
